,country,wdi_code,region_short,income_short,region,income,f_3,f_3_1,f_3_2,f_3_3,f_3_4,f_3_global,f_3_1_global,f_3_2_global,f_3_3_global,f_3_4_global,f_3_regional,f_3_1_regional,f_3_2_regional,f_3_3_regional,f_3_4_regional,f_3_income,f_3_1_income,f_3_2_income,f_3_3_income,f_3_4_income,q15c_dum,q15a_dum,q24a_dum,q24b_dum,q24c_dum,q24d_dum,q24e_dum,q21_dum,q20_dum,q20a_1_dum,q20a_2_dum,q20a_3_dum,q20a_4_dum,q20a_5_dum,q20a_6_dum,q20j1_dum,q20j2_dum,q20j3_dum,q20j4_dum,q20c_dum,q20e1_dum,q20e2_dum,q20e3_dum,q20e4_dum,q20e5_dum,q20f1_dum,q20f2_dum,q20i_dum,-,q20h_dum,q38g_dum,q38h_dum,q34a_dum,q15b_dum,q15d_dum,q15e_dum,q34d_dum,q34c_dum,q34f_dum,q34g_dum,q38c_dum,q38f_dum,,q15c_dum_maleC,q15c_dum_femaleC,q15a_dum_maleC,q15a_dum_femaleC,q24a_dum_maleC,q24a_dum_femaleC,q24b_dum_maleC,q24b_dum_femaleC,q24c_dum_maleC,q24c_dum_femaleC,q24d_dum_maleC,q24d_dum_femaleC,q24e_dum_maleC,q24e_dum_femaleC,q21_dum_maleC,q21_dum_femaleC,q20_dum_maleC,q20_dum_femaleC,q20a_1_dum_maleC,q20a_1_dum_femaleC,q20a_2_dum_maleC,q20a_2_dum_femaleC,q20a_3_dum_maleC,q20a_3_dum_femaleC,q20a_4_dum_maleC,q20a_4_dum_femaleC,q20a_5_dum_maleC,q20a_5_dum_femaleC,q20a_6_dum_maleC,q20a_6_dum_femaleC,q20j1_dum_maleC,q20j1_dum_femaleC,q20j2_dum_maleC,q20j2_dum_femaleC,q20j3_dum_maleC,q20j3_dum_femaleC,q20j4_dum_maleC,q20j4_dum_femaleC,q20c_dum_maleC,q20c_dum_femaleC,q20e1_dum_maleC,q20e1_dum_femaleC,q20e2_dum_maleC,q20e2_dum_femaleC,q20e3_dum_maleC,q20e3_dum_femaleC,q20e4_dum_maleC,q20e4_dum_femaleC,q20e5_dum_maleC,q20e5_dum_femaleC,q20f1_dum_maleC,q20f1_dum_femaleC,q20f2_dum_maleC,q20f2_dum_femaleC,q20i_dum_maleC,q20i_dum_femaleC,,,q20h_dum_maleC,q20h_dum_femaleC,q38g_dum_maleC,q38g_dum_femaleC,q38h_dum_maleC,q38h_dum_femaleC,q34a_dum_maleC,q34a_dum_femaleC,q15b_dum_maleC,q15b_dum_femaleC,q15d_dum_maleC,q15d_dum_femaleC,q15e_dum_maleC,q15e_dum_femaleC,q34d_dum_maleC,q34d_dum_femaleC,q34c_dum_maleC,q34c_dum_femaleC,q34f_dum_maleC,q34f_dum_femaleC,q34g_dum_maleC,q34g_dum_femaleC,q38c_dum_maleC,q38c_dum_femaleC,q38f_dum_maleC,q38f_dum_femaleC,,q15c_dum_poorC,q15c_dum_richC,q15a_dum_poorC,q15a_dum_richC,q24a_dum_poorC,q24a_dum_richC,q24b_dum_poorC,q24b_dum_richC,q24c_dum_poorC,q24c_dum_richC,q24d_dum_poorC,q24d_dum_richC,q24e_dum_poorC,q24e_dum_richC,q21_dum_poorC,q21_dum_richC,q20_dum_poorC,q20_dum_richC,q20a_1_dum_poorC,q20a_1_dum_richC,q20a_2_dum_poorC,q20a_2_dum_richC,q20a_3_dum_poorC,q20a_3_dum_richC,q20a_4_dum_poorC,q20a_4_dum_richC,q20a_5_dum_poorC,q20a_5_dum_richC,q20a_6_dum_poorC,q20a_6_dum_richC,q20j1_dum_poorC,q20j1_dum_richC,q20j2_dum_poorC,q20j2_dum_richC,q20j3_dum_poorC,q20j3_dum_richC,q20j4_dum_poorC,q20j4_dum_richC,q20c_dum_poorC,q20c_dum_richC,q20e1_dum_poorC,q20e1_dum_richC,q20e2_dum_poorC,q20e2_dum_richC,q20e3_dum_poorC,q20e3_dum_richC,q20e4_dum_poorC,q20e4_dum_richC,q20e5_dum_poorC,q20e5_dum_richC,q20f1_dum_poorC,q20f1_dum_richC,q20f2_dum_poorC,q20f2_dum_richC,q20i_dum_poorC,q20i_dum_richC,,,q20h_dum_poorC,q20h_dum_richC,q38g_dum_poorC,q38g_dum_richC,q38h_dum_poorC,q38h_dum_richC,q34a_dum_poorC,q34a_dum_richC,q15b_dum_poorC,q15b_dum_richC,q15d_dum_poorC,q15d_dum_richC,q15e_dum_poorC,q15e_dum_richC,q34d_dum_poorC,q34d_dum_richC,q34c_dum_poorC,q34c_dum_richC,q34f_dum_poorC,q34f_dum_richC,q34g_dum_poorC,q34g_dum_richC,q38c_dum_poorC,q38c_dum_richC,q38f_dum_poorC,q38f_dum_richC,
67,Morocco,MAR,MENA,LM,Middle East & North Africa,Lower middle ,0.51,0.48,0.48,0.51,0.56,60,43,70,78,51,2,2,2,4,1,11,7,15,19,7,0.74,0.81,0.57,0.55,0.60,0.60,0.59,0.19,0.06,0.49,0.15,0.12,0.14,0.08,0.02,0.55,0.31,0.12,0.03,0.76,0.38,0.30,0.27,0.05,0.00,0.60,0.40,0.60,,0.28,0.56,0.58,0.63,0.65,0.61,,0.65,0.63,0.69,0.67,0.50,0.59,,0.74,0.74,0.80,0.82,0.57,0.57,0.54,0.57,0.60,0.61,0.60,0.59,0.61,0.57,0.19,0.18,0.07,0.05,0.50,0.48,0.15,0.16,0.12,0.12,0.15,0.12,0.06,0.12,0.03,0.00,0.52,0.58,0.33,0.28,0.12,0.11,0.03,0.02,0.69,0.86,0.21,0.56,0.37,0.22,0.32,0.22,0.11,0.00,0.00,0.00,0.61,0.59,0.39,0.41,0.50,0.73,,,0.26,0.29,0.56,0.56,0.58,0.58,0.63,0.63,0.63,0.68,0.62,0.60,,,0.64,0.66,0.61,0.65,0.67,0.70,0.67,0.66,0.50,0.51,0.57,0.62,,0.72,0.76,0.80,0.84,0.55,0.61,0.57,0.54,0.59,0.62,0.59,0.60,0.65,0.52,0.18,0.19,0.07,0.05,0.49,0.50,0.16,0.13,0.14,0.06,0.14,0.13,0.07,0.13,0.00,0.06,0.59,0.49,0.25,0.40,0.13,0.11,0.04,0.01,0.74,0.81,0.44,0.25,0.28,0.33,0.24,0.33,0.04,0.08,0.00,0.00,0.60,0.60,0.40,0.40,0.59,0.64,,,0.24,0.36,0.57,0.55,0.57,0.61,0.63,0.64,0.68,0.62,0.63,0.58,,,0.63,0.68,0.64,0.60,0.68,0.70,0.68,0.65,0.50,0.51,0.60,0.58,
68,Myanmar,MMR,EAP,L,East Asia & Pacific,Low,0.32,0.36,0.39,0.28,0.26,100,87,94,98,100,15,14,15,14,14,14,8,12,14,13,0.53,0.26,0.31,0.38,0.24,0.27,0.24,0.14,0.01,0.70,0.20,0.00,0.00,0.00,0.10,0.48,0.15,0.20,0.17,0.90,0.33,0.44,0.22,0.00,0.00,0.78,0.22,0.80,,0.00,0.38,0.41,0.32,0.18,0.15,0.10,0.42,0.19,0.22,0.33,0.29,0.30,,0.51,0.55,0.25,0.27,0.34,0.28,0.41,0.34,0.26,0.22,0.30,0.24,0.25,0.22,0.15,0.12,0.01,0.01,0.83,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.47,0.49,0.15,0.15,0.20,0.20,0.18,0.16,0.83,1.00,0.40,0.25,0.20,0.75,0.40,0.00,0.00,0.00,0.00,0.00,0.80,0.75,0.20,0.25,0.83,0.75,,,0.00,0.00,0.39,0.36,0.43,0.39,0.32,0.33,0.19,0.16,0.15,0.15,0.09,0.12,0.41,0.43,0.19,0.18,0.23,0.22,0.34,0.32,0.32,0.26,0.31,0.28,,0.43,0.63,0.22,0.33,0.37,0.28,0.45,0.33,0.30,0.22,0.32,0.23,0.35,0.17,0.12,0.16,0.02,0.01,0.50,1.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.43,0.54,0.16,0.15,0.23,0.16,0.18,0.15,0.83,1.00,0.00,1.00,0.80,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.60,1.00,0.40,0.00,0.67,1.00,,,0.00,0.00,0.38,0.40,0.41,0.43,0.33,0.32,0.15,0.24,0.12,0.18,0.09,0.11,0.43,0.42,0.17,0.20,0.24,0.21,0.37,0.31,0.28,0.30,0.31,0.30,
69,Nepal,NPL,SA,L,South Asia,Low,0.56,0.47,0.50,0.67,0.60,40,51,63,32,36,2,3,3,1,1,1,1,2,2,1,0.75,,,,,0.87,,0.53,0.10,0.26,0.19,0.14,0.27,0.13,0.01,,,,,0.43,0.21,0.34,0.18,0.18,0.09,0.52,0.48,0.60,,0.05,,0.78,,,,0.62,,0.81,0.81,0.85,0.79,0.76,,0.78,0.73,,,,,0.85,0.81,,,0.86,0.88,,,0.49,0.57,0.08,0.12,0.25,0.26,0.30,0.11,0.13,0.16,0.28,0.26,0.05,0.19,0.00,0.02,,,,,,,,,0.34,0.48,0.17,0.24,0.35,0.33,0.17,0.18,0.22,0.15,0.09,0.09,0.48,0.54,0.52,0.46,0.59,0.61,,,0.00,0.08,,,0.77,0.79,,,,,,,0.64,0.59,,,0.80,0.82,0.81,0.81,0.83,0.86,0.78,0.79,0.75,0.77,,0.76,0.72,,,,,0.86,0.76,,,0.88,0.85,,,0.55,0.47,0.09,0.10,0.28,0.23,0.18,0.16,0.11,0.19,0.31,0.23,0.11,0.16,0.00,0.03,,,,,,,,,0.38,0.50,0.22,0.25,0.31,0.38,0.19,0.19,0.19,0.13,0.08,0.06,0.40,0.65,0.60,0.35,0.61,0.55,,,0.08,0.00,,,0.79,0.76,,,,,,,0.63,0.57,,,0.86,0.70,0.80,0.81,0.87,0.81,0.82,0.72,0.80,0.66,
70,Netherlands,NLD,EURNA,H,EU + EFTA + North America,High ,0.76,0.64,0.75,0.82,0.82,5,13,6,8,4,4,8,4,7,4,5,13,6,8,4,0.42,0.36,0.74,0.67,0.63,0.72,0.68,0.53,0.12,0.44,0.23,0.05,0.13,0.08,0.07,0.83,0.06,0.03,0.07,0.59,0.46,0.35,0.07,0.07,0.05,0.53,0.47,0.58,,0.01,0.88,0.91,0.95,0.39,0.52,0.40,0.94,0.91,0.88,0.87,0.90,0.92,,0.45,0.40,0.40,0.31,0.76,0.72,0.70,0.65,0.66,0.60,0.74,0.70,0.66,0.71,0.61,0.46,0.15,0.09,0.43,0.45,0.29,0.15,0.05,0.05,0.13,0.15,0.06,0.11,0.05,0.09,0.84,0.83,0.05,0.08,0.03,0.03,0.08,0.06,0.61,0.57,0.42,0.52,0.33,0.38,0.09,0.03,0.09,0.03,0.07,0.03,0.49,0.59,0.51,0.41,0.58,0.59,,,0.02,0.00,0.90,0.87,0.91,0.92,0.95,0.96,0.44,0.34,0.55,0.49,0.43,0.38,0.94,0.93,0.93,0.89,0.91,0.84,0.92,0.82,0.92,0.87,0.93,0.91,,0.42,0.40,0.36,0.35,0.72,0.81,0.67,0.71,0.64,0.65,0.71,0.81,0.67,0.75,0.51,0.66,0.13,0.10,0.47,0.28,0.22,0.31,0.06,0.07,0.13,0.17,0.09,0.03,0.03,0.14,0.81,0.88,0.08,0.05,0.05,0.02,0.07,0.05,0.60,0.72,0.43,0.50,0.39,0.33,0.02,0.11,0.09,0.00,0.07,0.06,0.42,0.65,0.58,0.35,0.62,0.48,,,0.00,0.00,0.88,0.91,0.92,0.92,0.94,0.98,0.39,0.40,0.49,0.55,0.38,0.44,0.94,0.95,0.89,0.95,0.85,0.92,0.85,0.93,0.88,0.93,0.90,0.96,
71,New Zealand,NZL,EAP,H,East Asia & Pacific,High ,0.81,0.80,0.82,0.83,0.81,2,1,2,6,6,1,1,1,1,2,2,1,2,6,6,0.66,0.54,0.94,0.94,0.90,,0.85,0.86,0.02,0.39,0.00,0.00,0.17,0.44,0.00,0.86,0.07,0.03,0.04,0.83,0.07,0.67,0.27,0.00,0.00,0.93,0.07,0.82,,0.00,0.97,0.99,0.99,0.48,0.49,0.54,0.87,0.97,0.96,0.96,0.94,0.94,,0.66,0.66,0.52,0.56,0.92,0.96,0.93,0.95,0.89,0.91,,,0.83,0.88,0.85,0.86,0.02,0.01,0.55,0.14,0.00,0.00,0.00,0.00,0.27,0.00,0.18,0.86,0.00,0.00,0.85,0.87,0.08,0.06,0.03,0.04,0.03,0.04,0.82,0.86,0.11,0.00,0.44,1.00,0.44,0.00,0.00,0.00,0.00,0.00,0.89,1.00,0.11,0.00,0.73,1.00,,,0.00,0.00,0.96,0.98,0.99,0.99,0.99,0.99,0.48,0.47,0.46,0.51,0.55,0.54,0.86,0.87,0.98,0.97,0.96,0.96,0.96,0.97,0.94,0.94,0.93,0.95,,0.67,0.65,0.55,0.50,0.94,0.96,0.94,0.96,0.89,0.96,,,0.84,0.90,0.85,0.86,0.02,0.02,0.36,0.50,0.00,0.00,0.00,0.00,0.21,0.00,0.43,0.50,0.00,0.00,0.86,0.82,0.06,0.11,0.03,0.05,0.04,0.02,0.93,0.50,0.08,0.00,0.69,0.00,0.23,1.00,0.00,0.00,0.00,0.00,0.92,1.00,0.08,0.00,0.93,0.00,,,0.00,0.00,0.96,0.99,0.99,0.99,0.99,0.99,0.49,0.36,0.51,0.37,0.55,0.54,0.88,0.79,0.97,0.99,0.95,1.00,0.96,1.00,0.94,0.97,0.93,0.97,
72,Nicaragua,NIC,LAC,LM,Latin America & Caribbean,Lower middle ,0.44,0.43,0.35,0.48,0.52,84,67,101,83,63,18,10,19,17,15,20,12,24,22,11,0.70,0.61,0.70,0.68,0.69,0.60,0.72,0.30,0.14,0.30,0.18,0.05,0.17,0.16,0.14,0.55,0.22,0.09,0.14,0.63,0.50,0.28,0.08,0.08,0.06,0.67,0.33,0.60,,0.09,0.79,0.76,0.79,0.66,0.64,0.56,0.87,0.72,0.72,0.74,0.71,0.81,,0.66,0.74,0.60,0.63,0.68,0.71,0.67,0.68,0.68,0.70,0.59,0.61,0.72,0.72,0.32,0.28,0.17,0.10,0.26,0.38,0.18,0.18,0.06,0.04,0.19,0.12,0.17,0.14,0.14,0.14,0.54,0.55,0.18,0.25,0.10,0.09,0.18,0.11,0.63,0.64,0.58,0.35,0.24,0.35,0.07,0.10,0.07,0.10,0.04,0.10,0.69,0.63,0.31,0.38,0.60,0.60,,,0.11,0.06,0.79,0.79,0.74,0.78,0.79,0.80,0.66,0.66,0.63,0.66,0.50,0.62,0.87,0.87,0.71,0.74,0.70,0.73,0.74,0.74,0.71,0.71,0.81,0.81,,0.70,0.67,0.63,0.59,0.72,0.68,0.69,0.66,0.70,0.69,0.60,0.60,0.71,0.71,0.25,0.37,0.12,0.17,0.38,0.23,0.13,0.23,0.05,0.03,0.10,0.23,0.24,0.10,0.11,0.18,0.54,0.58,0.23,0.19,0.09,0.11,0.14,0.13,0.60,0.64,0.43,0.54,0.32,0.26,0.08,0.05,0.11,0.08,0.05,0.08,0.61,0.77,0.39,0.23,0.54,0.64,,,0.13,0.05,0.78,0.79,0.75,0.75,0.78,0.80,0.68,0.64,0.62,0.62,0.56,0.54,0.87,0.86,0.71,0.72,0.72,0.69,0.74,0.72,0.72,0.68,0.81,0.81,
73,Nigeria,NGA,AFR,LM,Sub-Saharan Africa,Lower middle ,0.46,0.32,0.43,0.55,0.52,77,95,87,69,59,10,13,11,12,7,17,22,19,15,9,0.53,0.47,0.46,0.34,0.39,0.47,0.35,0.46,0.50,0.40,0.14,0.07,0.17,0.22,0.00,0.48,0.14,0.25,0.13,0.69,0.12,0.30,0.33,0.15,0.10,0.56,0.44,0.65,,0.11,0.64,0.64,0.75,0.51,0.48,0.44,0.70,0.64,0.65,0.71,0.61,0.64,,0.53,0.54,0.47,0.48,0.48,0.43,0.35,0.33,0.37,0.41,0.46,0.47,0.36,0.34,0.52,0.36,0.54,0.44,0.40,0.40,0.14,0.15,0.08,0.07,0.18,0.14,0.20,0.24,0.00,0.00,0.49,0.48,0.10,0.19,0.26,0.23,0.16,0.10,0.69,0.70,0.11,0.14,0.29,0.31,0.36,0.28,0.14,0.17,0.10,0.11,0.52,0.64,0.48,0.36,0.61,0.72,,,0.10,0.12,0.64,0.63,0.68,0.58,0.74,0.78,0.53,0.48,0.47,0.49,0.43,0.46,0.68,0.74,0.63,0.66,0.65,0.64,0.70,0.71,0.60,0.63,0.67,0.60,,0.59,0.50,0.50,0.46,0.46,0.50,0.34,0.31,0.41,0.39,0.48,0.49,0.34,0.41,0.44,0.60,0.46,0.59,0.40,0.38,0.14,0.15,0.07,0.07,0.16,0.20,0.23,0.19,0.00,0.00,0.48,0.51,0.15,0.14,0.24,0.25,0.14,0.11,0.69,0.69,0.08,0.15,0.31,0.29,0.35,0.26,0.15,0.18,0.12,0.12,0.54,0.45,0.46,0.55,0.67,0.57,,,0.09,0.10,0.60,0.69,0.63,0.66,0.72,0.77,0.54,0.49,0.54,0.43,0.47,0.43,0.71,0.66,0.60,0.70,0.59,0.68,0.68,0.72,0.59,0.63,0.60,0.72,
74,Norway,NOR,EURNA,H,EU + EFTA + North America,High ,0.81,0.73,0.77,0.89,0.86,3,2,3,3,1,2,1,2,3,1,3,2,3,3,1,0.44,0.56,0.77,0.70,0.64,0.71,0.72,0.63,0.23,0.44,0.13,0.11,0.12,0.14,0.05,0.86,0.05,0.07,0.02,0.70,0.33,0.36,0.17,0.06,0.09,0.51,0.49,0.68,,,0.89,0.93,0.96,0.51,0.49,0.46,0.92,0.90,0.89,0.85,0.89,0.92,,0.44,0.44,0.60,0.53,0.74,0.81,0.65,0.74,0.63,0.65,0.70,0.72,0.69,0.75,0.64,0.62,0.25,0.20,0.42,0.47,0.13,0.14,0.10,0.14,0.13,0.11,0.17,0.10,0.05,0.05,0.84,0.88,0.05,0.05,0.08,0.07,0.02,0.01,0.70,0.71,0.32,0.33,0.37,0.34,0.15,0.20,0.06,0.05,0.09,0.08,0.51,0.51,0.49,0.49,0.66,0.72,,,,,0.88,0.90,0.92,0.94,0.94,0.98,0.49,0.52,0.48,0.51,0.46,0.47,0.91,0.93,0.88,0.92,0.88,0.89,0.88,0.82,0.88,0.90,0.91,0.93,,0.44,0.44,0.57,0.57,0.79,0.77,0.71,0.71,0.62,0.67,0.69,0.77,0.75,0.67,0.65,0.60,0.24,0.22,0.47,0.35,0.11,0.20,0.09,0.16,0.13,0.08,0.15,0.15,0.05,0.05,0.85,0.87,0.05,0.05,0.08,0.07,0.02,0.00,0.72,0.72,0.34,0.33,0.36,0.33,0.18,0.19,0.04,0.04,0.08,0.11,0.55,0.49,0.45,0.51,0.73,0.64,,,,,0.89,0.88,0.92,0.93,0.96,0.96,0.49,0.54,0.49,0.49,0.46,0.46,0.92,0.93,0.88,0.90,0.89,0.88,0.85,0.86,0.88,0.91,0.91,0.93,
75,Pakistan,PAK,SA,LM,South Asia,Lower middle ,0.45,0.33,0.41,0.56,0.48,83,94,90,66,73,5,6,5,4,4,19,21,21,13,15,0.40,0.46,0.49,0.49,0.44,0.41,0.40,0.20,0.11,0.84,0.08,0.01,0.04,0.04,0.00,0.66,0.16,0.09,0.09,0.69,0.27,0.31,0.40,0.01,0.01,0.61,0.39,0.41,,0.40,0.51,0.49,0.70,0.48,0.41,0.42,0.63,0.60,0.55,0.63,0.62,0.60,,0.41,0.38,0.42,0.49,0.46,0.53,0.43,0.56,0.41,0.48,0.41,0.41,0.38,0.42,0.20,0.20,0.11,0.10,0.84,0.84,0.05,0.11,0.02,0.00,0.05,0.02,0.04,0.03,0.00,0.00,0.56,0.75,0.18,0.15,0.12,0.05,0.14,0.05,0.51,0.91,0.33,0.24,0.27,0.34,0.39,0.40,0.00,0.01,0.02,0.01,0.74,0.53,0.26,0.47,0.36,0.47,,,0.74,0.23,0.52,0.50,0.50,0.49,0.69,0.71,0.40,0.55,0.43,0.40,0.44,0.40,0.61,0.66,0.60,0.60,0.56,0.53,0.61,0.66,0.62,0.62,0.54,0.66,,0.45,0.33,0.52,0.37,0.51,0.46,0.52,0.44,0.49,0.37,0.42,0.39,0.39,0.40,0.22,0.17,0.12,0.09,0.89,0.74,0.07,0.10,0.00,0.01,0.03,0.04,0.00,0.10,0.00,0.00,0.66,0.65,0.18,0.15,0.08,0.10,0.09,0.10,0.68,0.73,0.23,0.32,0.32,0.30,0.43,0.34,0.00,0.02,0.01,0.02,0.62,0.56,0.38,0.44,0.40,0.44,,,0.49,0.27,0.50,0.53,0.46,0.54,0.70,0.69,0.51,0.45,0.46,0.35,0.47,0.35,0.60,0.68,0.58,0.61,0.51,0.59,0.60,0.68,0.64,0.60,0.59,0.62,
76,Panama,PAN,LAC,UM,Latin America & Caribbean,Upper middle ,0.55,0.50,0.48,0.63,0.60,45,38,71,42,37,8,5,15,7,7,10,8,24,9,8,0.69,0.70,0.61,0.56,0.59,0.60,0.68,0.20,0.13,0.29,0.23,0.13,0.12,0.16,0.06,0.61,0.17,0.07,0.16,0.63,0.34,0.27,0.17,0.09,0.13,0.57,0.43,0.59,,0.19,0.80,0.76,0.80,0.66,0.66,0.62,0.88,0.75,0.72,0.71,0.71,0.83,,0.69,0.68,0.72,0.67,0.58,0.63,0.53,0.59,0.58,0.59,0.57,0.62,0.67,0.69,0.21,0.20,0.13,0.12,0.34,0.23,0.21,0.26,0.12,0.15,0.10,0.15,0.19,0.13,0.04,0.08,0.63,0.58,0.14,0.19,0.07,0.08,0.16,0.16,0.60,0.67,0.35,0.32,0.23,0.32,0.23,0.11,0.10,0.08,0.10,0.16,0.60,0.54,0.40,0.46,0.57,0.61,,,0.20,0.18,0.81,0.79,0.76,0.76,0.83,0.78,0.67,0.65,0.68,0.65,0.63,0.60,0.90,0.85,0.77,0.73,0.74,0.70,0.72,0.71,0.72,0.70,0.84,0.82,,0.69,0.68,0.71,0.69,0.64,0.57,0.60,0.52,0.59,0.57,0.60,0.59,0.70,0.64,0.16,0.24,0.10,0.16,0.30,0.28,0.26,0.18,0.17,0.11,0.13,0.13,0.08,0.24,0.06,0.07,0.65,0.56,0.15,0.18,0.06,0.08,0.14,0.17,0.62,0.63,0.42,0.24,0.30,0.27,0.12,0.22,0.09,0.07,0.06,0.20,0.55,0.58,0.45,0.42,0.62,0.56,,,0.18,0.20,0.79,0.83,0.73,0.80,0.78,0.84,0.67,0.65,0.69,0.64,0.65,0.60,0.86,0.90,0.73,0.77,0.71,0.75,0.67,0.77,0.70,0.73,0.83,0.83,
77,Peru,PER,LAC,UM,Latin America & Caribbean,Upper middle ,0.55,0.39,0.55,0.65,0.63,47,79,50,37,32,9,14,10,5,5,11,28,13,6,5,0.36,0.32,,,0.53,,0.53,0.16,0.05,0.28,0.20,0.08,0.25,0.13,0.07,0.57,0.25,0.09,0.08,0.67,0.26,0.34,0.24,0.03,0.13,0.51,0.49,,,0.03,0.76,0.80,0.88,0.30,0.34,0.31,0.87,0.76,0.65,0.69,0.61,0.79,,0.36,0.35,0.32,0.32,,,,,0.53,0.54,,,0.52,0.53,0.18,0.13,0.06,0.04,0.29,0.26,0.26,0.11,0.12,0.04,0.18,0.33,0.12,0.15,0.03,0.11,0.58,0.56,0.25,0.26,0.09,0.09,0.07,0.09,0.71,0.62,0.23,0.31,0.32,0.38,0.23,0.25,0.05,0.00,0.18,0.06,0.45,0.60,0.55,0.40,,,,,0.05,0.00,0.76,0.76,0.78,0.82,0.89,0.87,0.29,0.31,0.34,0.34,0.31,0.32,0.88,0.87,0.78,0.74,0.67,0.64,0.71,0.68,0.64,0.58,0.80,0.78,,0.37,0.31,0.33,0.28,,,,,0.55,0.52,,,0.52,0.52,0.08,0.24,0.04,0.06,0.32,0.23,0.16,0.23,0.16,0.06,0.21,0.26,0.05,0.16,0.11,0.06,0.56,0.62,0.23,0.24,0.11,0.07,0.11,0.07,0.76,0.62,0.46,0.22,0.23,0.39,0.23,0.22,0.00,0.06,0.08,0.11,0.62,0.59,0.38,0.41,,,,,0.08,0.00,0.70,0.78,0.77,0.81,0.85,0.90,0.34,0.23,0.34,0.31,0.33,0.26,0.82,0.90,0.70,0.78,0.61,0.66,0.65,0.71,0.56,0.60,0.75,0.82,
78,Philippines,PHL,EAP,LM,East Asia & Pacific,Lower middle ,0.54,0.49,0.57,0.62,0.48,50,42,40,49,75,8,11,7,6,9,7,6,4,7,17,0.58,0.42,0.57,0.58,0.46,0.71,0.58,0.32,0.02,0.18,0.47,0.00,0.00,0.00,0.35,0.51,0.21,0.12,0.16,1.00,0.29,0.65,0.06,0.00,0.00,0.88,0.12,1.00,,0.00,0.68,0.70,0.79,0.27,0.26,0.17,0.84,0.76,0.81,0.69,0.70,0.77,,0.54,0.63,0.40,0.44,0.58,0.56,0.58,0.58,0.48,0.45,0.72,0.70,0.55,0.60,0.31,0.32,0.01,0.03,0.50,0.08,0.25,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.38,0.48,0.54,0.20,0.23,0.14,0.10,0.18,0.14,1.00,1.00,0.00,0.38,0.75,0.62,0.25,0.00,0.00,0.00,0.00,0.00,1.00,0.85,0.00,0.15,1.00,1.00,,,0.00,0.00,0.69,0.67,0.71,0.70,0.79,0.80,0.27,0.27,0.23,0.30,0.14,0.20,0.83,0.85,0.77,0.76,0.81,0.82,0.69,0.69,0.70,0.69,0.76,0.77,,0.51,0.78,0.36,0.57,0.52,0.66,0.55,0.60,0.42,0.54,0.67,0.81,0.60,0.54,0.27,0.40,0.01,0.03,0.20,0.14,0.60,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.57,0.47,0.60,0.22,0.22,0.15,0.06,0.16,0.11,1.00,1.00,0.20,0.43,0.70,0.57,0.10,0.00,0.00,0.00,0.00,0.00,1.00,0.71,0.00,0.29,1.00,1.00,,,0.00,0.00,0.64,0.79,0.66,0.81,0.78,0.82,0.24,0.33,0.22,0.35,0.14,0.23,0.83,0.88,0.73,0.83,0.79,0.86,0.65,0.76,0.66,0.78,0.75,0.81,
79,Poland,POL,EURNA,H,EU + EFTA + North America,High ,0.67,0.52,0.72,0.72,0.73,20,32,10,25,17,14,17,7,16,12,19,26,10,21,16,0.33,0.32,0.53,0.47,0.45,0.58,0.45,,0.04,0.45,0.05,0.24,0.10,0.17,0.00,,,,,0.86,0.70,0.30,0.00,0.00,0.00,0.41,0.59,1.00,,0.00,0.62,0.81,0.86,0.36,0.39,0.30,0.84,0.65,0.46,0.66,0.56,0.68,,0.33,0.34,0.32,0.33,0.55,0.52,0.49,0.45,0.44,0.46,0.58,0.58,0.48,0.42,,,0.04,0.04,0.48,0.43,0.00,0.10,0.29,0.19,0.14,0.05,0.10,0.24,0.00,0.00,,,,,,,,,0.90,0.82,0.68,0.72,0.32,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.39,0.58,0.61,1.00,1.00,,,0.00,0.00,0.65,0.59,0.82,0.80,0.85,0.87,0.36,0.37,0.41,0.37,0.31,0.28,0.83,0.84,0.65,0.64,0.48,0.44,0.69,0.63,0.56,0.56,0.68,0.69,,0.37,0.20,0.36,0.20,0.54,0.50,0.47,0.49,0.47,0.40,0.60,0.49,0.45,0.45,,,0.05,0.03,0.46,0.43,0.06,0.00,0.20,0.43,0.11,0.00,0.17,0.14,0.00,0.00,,,,,,,,,0.86,0.86,0.71,0.67,0.29,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.33,0.58,0.67,1.00,1.00,,,0.00,0.00,0.63,0.58,0.81,0.82,0.86,0.85,0.39,0.28,0.42,0.29,0.31,0.23,0.82,0.91,0.65,0.61,0.45,0.51,0.65,0.71,0.58,0.46,0.68,0.70,
